a,a,a,a,a
0.013641357,1.45703125,2,2,1.08001709
0.009040833,1.390625,0.666666667,2,1.062011719
0.008544922,1.883789063,2,2,1.145996094
0.011016846,1.752929688,2,2,1.054992676
0.011077881,1.680664063,0,2,1.026000977
0.009338379,0,1.333333333,1,1.077026367
0.005191803,1.883789063,2,2,0.966003418
0.012771606,1.576171875,0.666666667,2,1.032012939
0.013366699,1.504882813,2,2,1.032989502
0.01411438,1.883789063,1.333333333,2,1.064025879
0.046356201,1.73046875,2,2,1.024993896
0.0128479,1.639648438,2,2,1.130981445
0.009902954,1.54296875,1.333333333,2,1.096984863
0.008636475,1.883789063,1.333333333,1,1.091003418
0.015403748,1.680664063,2,2,1.176025391
0.011413574,1.883789063,0.666666667,2,1.070007324
0.003889084,1.33203125,1.333333333,2,0.977996826
0.010688782,1.673828125,0.666666667,2,1.013999939
0.013137817,1.684570313,0.666666667,2,1.006000519
0.013916016,1.767578125,2,2,1.022003174
0.007850647,1.883789063,2,2,0.986000061
0.003761292,2,1.333333333,2,1.072998047
0.014129639,1.419921875,0.666666667,1,1.04901123
0.015716553,1.704101563,2,2,0.986999512
0.01386261,1.38671875,2,2,1.07598877
0.012016296,1.883789063,0.666666667,1,1.013999939
0.017272949,1.704101563,2,1,1.080993652
0.013069153,1.883789063,2,2,0.993000031
0.004741669,1.711914063,1.333333333,2,0.986000061
0.012931824,1.662109375,2,2,1.024993896
0.013275146,1.2265625,2,2,1.008003235
0.01309967,1.704101563,1.333333333,2,1.136962891
0.010513306,1.883789063,2,2,1.008003235
0.015571594,1.680664063,2,2,1.032989502
0.015342712,1.883789063,2,2,1.09197998
0.01158905,1.4765625,1.333333333,2,0.979995728
0.012382507,1.84765625,2,1,0.977005005
0.015762329,1.883789063,2,2,1.01499939
0.009094238,0,0,2,1.049987793
0.012077332,1.666015625,1.333333333,1,1.026000977
0.004402161,1.328125,2,2,1.375
0.011528015,1.548828125,2,2,1.261962891
2,2,2,2,2
0.004844666,1.501953125,1.333333333,2,1.064025879
0.010269165,1.501953125,0.666666667,1,1.044006348
0.018249512,1.017578125,2,2,1.324951172
0.005710602,1.548828125,1.333333333,2,1
0.010009766,1.501953125,1.333333333,2,1.033996582
0.001238823,1.702148438,2,1,1.067016602
0.005512238,1.868164063,0.666666667,2,1.135986328
0.004581451,1.501953125,2,2,1.026992798
0.005134583,1.514648438,1.333333333,2,0.900024414
0.015457153,1.513671875,1.333333333,1,0.947998047
0.005374908,1.44921875,2,2,1.083007813
0.004199982,1.328125,2,2,1.135009766
0.016021729,1.548828125,2,2,1.103027344
0.00220108,1.7109375,1.333333333,2,1.037994385
0.004470825,1.328125,2,2,1.135986328
0.016036987,1.548828125,2,2,1.112976074
0.015518188,1.548828125,2,2,1.098022461
0.009773254,0,2,1,1.099975586
0.002470016,1.723632813,2,2,1.020004272
0.010528564,1.548828125,2,2,1.125976563
0.008239746,1.501953125,1.333333333,2,1.011001587
0.004505157,0,0,2,1.064025879
0.006397247,1.120117188,2,2,1.146972656
0.005050659,1.501953125,1.333333333,1,0.970993042
0.005474091,1.114257813,2,1,1.125976563
0.006561279,0,2,2,1.300048828
0.012687683,1.561523438,2,2,1.009002686
0.002994537,1.514648438,2,1,1.109008789
0.004379272,1.431640625,1.333333333,2,1.140014648
0.009056091,1.84765625,2,2,1.186035156
0.010505676,1.548828125,2,1,1.04699707
0.01322937,1.548828125,2,2,1.140014648
0.01789856,1.814453125,0.666666667,2,1.109985352
0.009803772,1.7734375,2,2,1.20703125
0.007198334,1.501953125,2,2,0.989997864
0.032836914,1.717773438,2,2,1.062988281
0.009407043,1.514648438,1.333333333,1,0.911987305
0.759277344,1.953125,2,2,1.438964844
0.014083862,1.017578125,2,2,1.258056641
0.725097656,2,2,1,1.419921875
0.003768921,1.451171875,2,2,1.124023438
0.002580643,1.46875,1.333333333,2,0.929992676
0.010635376,1.514648438,1.333333333,2,0.937988281
0.499511719,1.8984375,2,1,1.385009766
0.01436615,1.501953125,2,2,1.057006836
0.006378174,1.513671875,0.666666667,2,0.954986572
0.005851746,1.017578125,1.333333333,2,1.07800293
0.009315491,1.44921875,2,2,0.977005005
0.008811951,1.58984375,0.666666667,2,1.093017578
0.010314941,1.501953125,2,2,1.111022949
0.005180359,1.646484375,1.333333333,2,0.916992188
0.007595062,1.501953125,1.333333333,1,1.067016602
0.007987976,1.501953125,2,2,1.011001587
0.032958984,1.501953125,2,2,1.101013184
0.009407043,1.514648438,2,2,0.962005615
0.008956909,1.82421875,0.666666667,2,0.989997864
0.011680603,1.58984375,1.333333333,2,1.005001068
0.007137299,1.880859375,2,2,1.252929688
0.077697754,1.868164063,0.666666667,2,1.096984863
0.010223389,1.513671875,2,2,1.119995117
0.010505676,1.541992188,2,2,1.141967773
0.006137848,1.328125,0,2,0.968994141
0.005596161,0,1.333333333,1,1.013999939
0.002124786,1.431640625,2,2,0.944000244
0.006072998,1.501953125,0.666666667,2,0.977005005
0.002645493,1.829101563,2,2,0.979995728
0.016876221,1.501953125,1.333333333,2,1.022994995
0.008537292,1.560546875,2,2,1.003000259
0.010635376,1.44921875,2,2,1.151000977
0.006210327,1.9140625,1.333333333,2,1.035003662
0.006057739,1.501953125,1.333333333,1,1.104003906
0.004714966,1.328125,2,2,1.186035156
0.004169464,1.514648438,0.666666667,2,1.052001953
0.00279808,1.017578125,1.333333333,2,0.935974121
0.029296875,1.58984375,0.666666667,2,0.958007813
0.025115967,1.744140625,0.666666667,2,1.039001465
0.007442474,1.44921875,2,2,0.98399353
0.008476257,1.501953125,2,2,0.98399353
0.005954742,1.548828125,1.333333333,2,1.04800415
0.006706238,1.868164063,0.666666667,1,0.979995728
0.008125305,1.514648438,2,2,0.905029297
0.012016296,1.868164063,2,2,1.266113281
0.008087158,1.501953125,0.666666667,1,0.983001709
0.006889343,1.451171875,2,1,0.979003906
0.008895874,1.501953125,2,2,1.085021973
0.003278732,1.555664063,1.333333333,2,0.929016113
0.000374556,1.662109375,2,2,1.044006348
0.012069702,1.841796875,2,2,0.977005005
0.015434265,1.451171875,1.333333333,2,1.044006348
0.009742737,1.501953125,2,2,1.022003174
0.012939453,1.328125,2,2,0.986999512
0.010246277,1.501953125,2,2,1.161010742
0.010375977,1.868164063,1.333333333,2,0.950012207
0.006450653,1.560546875,2,1,0.996999741
0.006679535,1.501953125,2,2,1.020004272
0.005512238,0,0,2,0.959014893
0.005859375,1.514648438,1.333333333,1,0.916992188
0.00705719,1.516601563,1.333333333,2,1.173950195
0.009925842,1.883789063,1.333333333,2,1.162963867
0.004844666,1.501953125,1.333333333,2,1.064025879
2,2,2,2,2
0.075256348,2,1.333333333,1,1.412109375
0.008270264,1.375976563,1.333333333,2,1.185058594
0.007526398,1.883789063,2,2,1.111999512
0.013206482,1.685546875,2,2,1.362060547
0.002807617,1.685546875,1.333333333,1,1.096984863
0.004676819,1.4765625,1.333333333,2,1.250976563
0.007316589,1.641601563,1.333333333,2,1.262939453
0.009391785,1.666992188,2,2,1.175048828
0.006622314,1.8671875,2,1,1.208007813
0.010147095,1.767578125,1.333333333,2,1.189941406
0.004730225,1.500976563,1.333333333,2,0.981994629
0.009735107,1.883789063,1.333333333,2,1.064025879
0.009742737,1.671875,2,2,1.119995117
0.010520935,1.500976563,1.333333333,2,0.963989258
0.011825562,1.883789063,1.333333333,2,1.016998291
0.018173218,1.71484375,1.333333333,2,1.024993896
0.010055542,0,1.333333333,1,1.032012939
0.006534576,1.705078125,1.333333333,2,1.049987793
0.006385803,1.883789063,1.333333333,2,1.037994385
0.011894226,2,2,2,1.250976563
0.006786346,0,0.666666667,2,1.204956055
0.008010864,1.435546875,1.333333333,2,1.217041016
0.01083374,2,2,1,1.287109375
0.006637573,1.46484375,1.333333333,1,1.234008789
0.007949829,0,1.333333333,2,0.941986084
0.006637573,1.6640625,1.333333333,2,1.085998535
0.015869141,1.686523438,1.333333333,1,1.135009766
0.01651001,1.572265625,2,2,1.182006836
0.010391235,1.293945313,1.333333333,2,1.17199707
0.017471313,1.71484375,1.333333333,1,1.090026855
0.008216858,1.883789063,1.333333333,2,1.042999268
0.010604858,1.515625,1.333333333,2,1.278076172
0.015480042,1.0859375,1.333333333,2,1.070007324
0.00661087,2,1.333333333,2,1.125976563
0.011543274,1.413085938,1.333333333,2,1.114013672
0.00869751,1.813476563,2,1,1.16003418
0.003866196,1.435546875,1.333333333,2,0.95098877
0.015174866,1.375976563,1.333333333,2,0.926025391
0.004837036,1.501953125,1.333333333,1,0.940002441
0.007534027,1.58984375,1.333333333,2,1.029998779
0.003768921,1.73046875,2,2,1.07598877
0.018341064,1.813476563,2,2,1.161010742
0.006263733,1.280273438,1.333333333,1,0.958007813
0.016525269,2,1.333333333,2,1.178955078
0.048370361,1.916992188,1.333333333,2,1.140014648
0.006069183,1.375976563,2,2,1.111999512
0.013710022,1.772460938,1.333333333,2,1.16394043
0.009002686,1.673828125,1.333333333,2,1.262939453
0.013977051,2,1.333333333,2,1.140014648
0.003761292,1.627929688,2,2,1.166992188
0.016174316,1.641601563,2,1,1.202026367
0.010627747,2,1.333333333,2,1.191040039
0.006931305,2,1.333333333,2,1.101989746
0.006195068,1.666992188,1.333333333,2,1.011001587
0.011528015,1.698242188,1.333333333,2,1.156005859
0.009605408,1.7734375,2,2,1.072998047
0.007537842,1.434570313,1.333333333,2,0.960998535
0.005947113,1.390625,1.333333333,2,1.145996094
0.034240723,1.916992188,1.333333333,2,1.085021973
0.006629944,1.752929688,1.333333333,2,1.052001953
0.00818634,1.625976563,0.666666667,2,1.12097168
0.009590149,0,2,1,1.107971191
0.003232956,1.572265625,1.333333333,2,1.126953125
0.012992859,1.576171875,1.333333333,2,1.170043945
0.007785797,1.448242188,1.333333333,2,1.049987793
0.017242432,2,2,2,1.054992676
0.023590088,1.73046875,1.333333333,2,1.059997559
0.011138916,1.639648438,1.333333333,2,1.083007813
0.006763458,1.485351563,2,2,1.065002441
0.024551392,2,2,1,1.111022949
0.01159668,1.500976563,1.333333333,2,1.006000519
0.014755249,1.813476563,1.333333333,2,1.159057617
0.004516602,1.375976563,2,2,1.040008545
0.009674072,1.673828125,1.333333333,2,1.106018066
0.007354736,1.646484375,1.333333333,2,1.101989746
0.010452271,1.767578125,1.333333333,2,1.061004639
0.004337311,2,1.333333333,2,1.193969727
0.005447388,1.883789063,2,2,1.065002441
0.009994507,1.419921875,1.333333333,1,1.08001709
0.020706177,1.666992188,1.333333333,2,1.144042969
0.017379761,1.38671875,1.333333333,2,1.035003662
0.01071167,2,1.333333333,1,1.114013672
0.013298035,1.58984375,1.333333333,1,1.013999939
0.011451721,2,1.333333333,2,1.145996094
0.007408142,1.711914063,2,2,1.175048828
0.002637863,1.657226563,1.333333333,2,1.136962891
0.014701843,1.2265625,1.333333333,2,1.142944336
0.014793396,1.58984375,2,2,1.172973633
0.007949829,2,1.333333333,2,1.162963867
0.009407043,1.500976563,1.333333333,2,1.161010742
0.015640259,2,1.333333333,2,1.075012207
0.007980347,1.4765625,2,2,1.116027832
0.008354187,1.84765625,1.333333333,1,1.029006958
0.011734009,2,1.333333333,2,1.117980957
0.007110596,0,0.666666667,2,1.111022949
0.00831604,1.638671875,2,1,1.012001038
0.004749298,1.516601563,0.666666667,1,1.112976074
0.011650085,1.883789063,0.666666667,1,1.165039063
0.010269165,1.501953125,0.666666667,1,1.044006348
0.075256348,2,1.333333333,1,1.412109375
2,2,2,2,2
0.00919342,1.375976563,0.666666667,1,1.119995117
0.004180908,1.883789063,1.333333333,1,1.103027344
0.015869141,1.685546875,1.333333333,1,1.45703125
0.00478363,1.685546875,0.666666667,0,1.142944336
0.011978149,1.4765625,2,1,1.290039063
0.007278442,1.641601563,0.666666667,1,1.182983398
0.018417358,1.666992188,1.333333333,1,1.260986328
0.006855011,1.8671875,1.333333333,2,1.274902344
0.007656097,1.767578125,0.666666667,1,1.12298584
0.004398346,1.500976563,0.666666667,1,0.975997925
0.008369446,1.883789063,0.666666667,1,1.040008545
0.012924194,1.671875,1.333333333,1,1.130981445
0.008148193,1.500976563,0.666666667,1,0.967987061
0.008087158,1.883789063,0.666666667,1,1.018005371
0.034606934,1.71484375,0.666666667,1,1.033996582
0.013328552,0,0.666666667,0,1.041992188
0.007396698,1.705078125,0.666666667,1,1.093017578
0.005405426,1.883789063,0.666666667,1,1.058990479
0.009132385,2,1.333333333,1,1.282958984
0.007965088,0,1.333333333,1,1.291015625
0.009101868,1.435546875,0.666666667,1,1.136962891
0.011962891,2,1.333333333,2,1.327880859
0.008834839,1.46484375,0.666666667,0,1.170043945
0.009017944,0,0.666666667,1,0.957000732
0.006404877,1.6640625,0.666666667,1,1.091003418
0.004585266,1.686523438,0.666666667,2,1.12902832
0.012428284,1.572265625,1.333333333,1,1.116027832
0.011741638,1.293945313,0.666666667,1,1.134033203
0.012290955,1.71484375,0.666666667,0,1.103027344
0.011940002,1.883789063,0.666666667,1,0.986000061
0.015716553,1.515625,2,1,1.293945313
0.015579224,1.0859375,0.666666667,1,1.107971191
0.006519318,2,0.666666667,1,1.147949219
0.012390137,1.413085938,0.666666667,1,1.125976563
0.012741089,1.813476563,1.333333333,2,1.224975586
0.006267548,1.435546875,0.666666667,1,0.973007202
0.007717133,1.375976563,0.666666667,1,0.914001465
0.004138947,1.501953125,0.666666667,0,0.962005615
0.011886597,1.58984375,0.666666667,1,1.018997192
0.007350922,1.73046875,1.333333333,1,1.111022949
0.015441895,1.813476563,1.333333333,1,1.227050781
0.006973267,1.280273438,0.666666667,0,0.970001221
0.012069702,2,0.666666667,1,1.12298584
0.060180664,1.916992188,2,1,1.177978516
0.008796692,1.375976563,1.333333333,1,1.085998535
0.016052246,1.772460938,0.666666667,1,1.181030273
0.011222839,1.673828125,2,1,1.262939453
0.009254456,2,0.666666667,1,1.085021973
0.008026123,1.627929688,1.333333333,1,1.227050781
0.018173218,1.641601563,1.333333333,0,1.156982422
0.009605408,2,0.666666667,1,1.088989258
0.01108551,2,0.666666667,1,1.144042969
0.009643555,1.666992188,0.666666667,1,1.037994385
0.012496948,1.698242188,2,1,1.229003906
0.009002686,1.7734375,1.333333333,1,1.088012695
0.007026672,1.434570313,0.666666667,1,0.987998962
0.011962891,1.390625,2,1,1.137939453
0.008918762,1.916992188,0.666666667,1,1.067993164
0.013633728,1.752929688,0.666666667,1,1.111022949
0.007987976,1.625976563,1.333333333,1,1.151977539
0.009841919,0,1.333333333,2,1.16394043
0.004749298,1.572265625,0.666666667,1,1.122009277
0.011291504,1.576171875,2,1,1.172973633
0.007053375,1.448242188,0.666666667,1,1.062011719
0.010375977,2,1.333333333,1,1.065979004
0.00705719,1.73046875,0.666666667,1,1.004001617
0.016357422,1.639648438,0.666666667,1,1.040008545
0.008308411,1.485351563,1.333333333,1,1.073974609
0.007335663,2,1.333333333,2,1.096008301
0.011360168,1.500976563,0.666666667,1,0.967987061
0.010917664,1.813476563,2,1,1.109008789
0.006023407,1.375976563,1.333333333,1,1.111999512
0.011383057,1.673828125,2,1,1.194946289
0.007053375,1.646484375,2,1,1.12902832
0.008918762,1.767578125,0.666666667,1,1.059997559
0.004264832,2,0.666666667,1,1.134033203
0.005966187,1.883789063,1.333333333,1,1.067016602
0.012153625,1.419921875,2,0,1.12902832
0.007369995,1.666992188,0.666666667,1,1.140014648
0.012062073,1.38671875,0.666666667,1,1.036010742
0.010650635,2,2,0,1.126953125
0.012191772,1.58984375,0.666666667,0,1.032989502
0.014656067,2,0.666666667,1,1.058013916
0.003873825,1.711914063,1.333333333,1,1.21105957
0.001928329,1.657226563,0.666666667,1,1.059997559
0.019302368,1.2265625,0.666666667,1,1.142944336
0.007148743,1.58984375,1.333333333,1,1.128051758
0.013870239,2,0.666666667,1,1.137939453
0.081054688,1.500976563,0.666666667,1,1.173950195
0.012817383,2,0.666666667,1,1.111022949
0.013725281,1.4765625,1.333333333,1,1.202026367
0.011108398,1.84765625,0.666666667,2,0.995998383
0.140380859,2,0.666666667,1,1.064025879
0.006824493,0,1.333333333,1,1.168945313
0.00958252,1.638671875,1.333333333,0,1.018005371
0.008666992,1.471679688,2,2,1.329101563
0.009918213,1.33203125,2,2,1.204956055
0.018249512,1.017578125,2,2,1.324951172
0.008270264,1.375976563,1.333333333,2,1.185058594
0.00919342,1.375976563,0.666666667,1,1.119995117
2,2,2,2,2
0.004459381,1.33203125,1.333333333,2,0.929016113
0.021865845,1.56640625,1.333333333,2,1.04598999
0.012779236,1.349609375,2,1,0.996999741
0.004291534,1.244140625,0.666666667,2,1.09197998
0.006519318,1.548828125,2,2,1.139038086
0.013412476,1.506835938,1.333333333,2,0.934997559
0.016174316,1.443359375,1.333333333,1,0.991996765
0.007102966,1.091796875,2,2,1.013000488
0.009353638,1.572265625,2,2,1.135009766
0.009887695,1.33203125,2,2,1.09197998
0.006530762,1.5,1.333333333,2,0.935974121
0.005516052,1.572265625,2,2,1.119995117
0.007534027,1.33203125,2,2,1.104980469
0.009025574,1.5546875,2,2,1.073974609
0.00793457,0,2,1,1.08001709
0.00983429,1.3203125,2,2,0.957000732
0.008666992,1.33203125,2,2,1.07800293
0.006244659,1.375976563,1.333333333,2,1.036987305
0.006256104,0,0,2,1.064025879
0.006034851,1.42578125,2,2,1.182983398
0.007125854,1.375976563,1.333333333,1,1.009002686
0.006278992,1.137695313,2,1,1.067016602
0.009773254,0,2,2,1.156005859
0.00466156,1.416015625,2,2,1.020004272
0.007881165,1.329101563,2,1,1.168945313
0.017959595,1.643554688,1.333333333,2,1.040985107
0.016983032,1.143554688,2,2,1.140014648
0.011329651,1.5546875,2,1,0.963012695
0.00894928,1.33203125,2,2,1.215942383
0.013908386,1.212890625,0.666666667,2,1.104980469
0.018829346,0.71484375,2,2,1.142944336
0.00491333,1.375976563,2,2,1.067993164
0.015914917,1.180664063,2,2,1.027999878
0.010192871,1.259765625,1.333333333,1,0.95401001
0.001769066,0.950683594,2,2,1.140014648
0.012420654,2,2,2,1.208984375
0.002666473,1.017578125,2,1,1.136962891
0.00705719,1.477539063,2,2,1.04699707
0.0079422,1.280273438,1.333333333,2,0.924987793
0.010772705,1.259765625,1.333333333,2,0.944000244
0.006034851,1.106445313,2,1,1.101989746
0.01033783,1.375976563,2,2,1.091003418
0.007389069,1.396484375,0.666666667,2,1.002000809
0.008865356,2,1.333333333,2,1.058013916
0.014892578,1.08984375,2,2,1.085021973
0.009109497,1.356445313,0.666666667,2,1.049987793
0.016738892,1.375976563,2,2,1.194946289
0.008560181,1.369140625,1.333333333,2,0.909973145
0.012527466,1.548828125,1.333333333,1,1.033996582
0.005634308,1.375976563,2,2,1.094970703
0.011314392,1.375976563,2,2,1.298095703
0.016342163,1.506835938,2,2,0.967010498
0.012748718,1.283203125,0.666666667,2,0.997999191
0.010505676,1.141601563,1.333333333,2,0.954986572
0.009613037,1.190429688,2,2,1.125976563
0.006603241,0.935546875,0.666666667,2,1.070983887
0.005119324,1.396484375,2,2,1.08001709
0.013458252,1.549804688,2,2,1.070983887
0.007053375,1.143554688,0,2,0.967987061
0.015625,0,1.333333333,1,1.004001617
0.002124786,1.643554688,2,2,0.945007324
0.008972168,1.413085938,0.666666667,2,0.973999023
0.008796692,1.15234375,2,2,0.908996582
0.013168335,1.375976563,1.333333333,2,0.98500061
0.006217957,1.388671875,2,2,0.988998413
0.012573242,1.393554688,2,2,1.471923828
0.007724762,1.0234375,1.333333333,2,1.013999939
0.00435257,1.375976563,1.333333333,1,1.146972656
0.009498596,1.572265625,2,2,1.249023438
0.013084412,1.259765625,0.666666667,2,1.04901123
0.002492905,2,1.333333333,2,0.916992188
0.008148193,1.356445313,0.666666667,2,0.968994141
0.045928955,1.250976563,0.666666667,2,0.954986572
0.017181396,1.091796875,2,2,0.983001709
0.007255554,1.375976563,2,2,1.024993896
0.001180649,1.33203125,1.333333333,2,0.979003906
0.007850647,1.016601563,0.666666667,1,0.960998535
0.01348877,1.506835938,2,2,0.966003418
0.010047913,1.201171875,2,2,1.197021484
0.008644104,1.375976563,0.666666667,1,1.006999969
0.008422852,1.477539063,2,1,0.908996582
0.010528564,1.375976563,2,2,1.12298584
0.009803772,1.239257813,1.333333333,2,0.909973145
0.003576279,1.504882813,2,2,1.070007324
0.014625549,1.172851563,2,2,1.005001068
0.00894165,1.477539063,1.333333333,2,1.058990479
0.009895325,1.375976563,2,2,1.08001709
0.01486969,1.572265625,2,2,0.997999191
0.016189575,1.375976563,2,2,1.16394043
0.010566711,1.244140625,1.333333333,2,0.95199585
