id,title,similar_movies,similar_books
1-16,"The Girl with the Dragon Tattoo (Millennium, #1)","['0-65754', '0-644', '0-508', '0-11615', '0-322', '0-1359']","['1-16', '1-98', '1-140', '1-209', '1-123', '1-241', '1-515', '1-84', '1-729', '1-295', '1-745', '1-115', '1-784']"
1-17,"Catching Fire (The Hunger Games, #2)","['0-70160', '0-101299', '0-1562', '0-58595', '0-98', '0-17654', '0-11615', '0-298', '0-13885', '0-6637', '0-27576', '0-44833', '0-3933']","['1-17', '1-20', '1-1', '1-273', '1-201', '1-294']"
1-18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['0-673', '0-671', '0-675', '0-672', '0-767', '0-674', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-18', '1-2', '1-21', '1-24', '1-23', '1-27', '1-479', '1-693']"
1-19,"The Fellowship of the Ring (The Lord of the Rings, #1)","['0-120', '0-122', '0-121', '0-44912', '0-11932', '0-8844']","['1-19', '1-189', '1-155', '1-161', '1-7', '1-611', '1-332', '1-542', '1-602', '1-54', '1-593', '1-386', '1-28']"
1-20,"Mockingjay (The Hunger Games, #3)","['0-70160', '0-101299', '0-58595', '0-11615', '0-6637', '0-27576', '0-1562', '0-14574', '0-27205']","['1-20', '1-17', '1-1', '1-273', '1-201', '1-110', '1-135', '1-188', '1-282', '1-39']"
1-21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","['0-675', '0-671', '0-767', '0-672', '0-674', '0-673', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-21', '1-2', '1-24', '1-18', '1-27', '1-23', '1-479', '1-693']"
1-23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['0-672', '0-671', '0-767', '0-675', '0-673', '0-674', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-23', '1-2', '1-21', '1-18', '1-24', '1-27', '1-479', '1-693']"
1-24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","['0-674', '0-675', '0-671', '0-767', '0-672', '0-673', '0-36955', '0-8321', '0-8966', '0-559', '0-95']","['1-24', '1-21', '1-2', '1-18', '1-23', '1-27', '1-479', '1-693']"
1-26,"The Da Vinci Code (Robert Langdon, #2)","['0-591', '0-11631', '0-267935', '0-27582', '0-388', '0-89']","['1-26', '1-493', '1-201', '1-9', '1-635', '1-373', '1-652', '1-624', '1-436', '1-312', '1-647', '1-620', '1-743']"
1-27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['0-767', '0-675', '0-671', '0-674', '0-672', '0-673', '0-8321', '0-36955', '0-8966', '0-559', '0-95']","['1-27', '1-479', '1-21', '1-2', '1-24', '1-23', '1-18', '1-693']"
1-28,Lord of the Flies,"['0-82690', '0-694', '0-693', '0-22', '0-142', '0-9479', '0-58', '0-1572', '0-602', '0-10020', '0-1865', '0-285']","['1-28', '1-311', '1-642', '1-72', '1-124', '1-640', '1-168']"
1-29,Romeo and Juliet,"['0-1934', '0-408', '0-770', '0-630', '0-289', '0-15']","['1-29', '1-341', '1-530', '1-125', '1-479', '1-154', '1-597', '1-576', '1-248', '1-714', '1-353', '1-79', '1-478']"
1-31,The Help,"['0-58595', '0-3981', '0-411']","['1-31', '1-691', '1-179', '1-278', '1-24', '1-779', '1-409', '1-784', '1-57', '1-78', '1-467', '1-640', '1-504', '1-408', '1-516', '1-86']"
1-32,Of Mice and Men,"['0-4133', '0-105', '0-1585', '0-117', '0-510', '0-33', '0-489', '0-497', '0-680']","['1-32', '1-225', '1-321', '1-131', '1-14', '1-289', '1-311', '1-55', '1-317', '1-158']"
1-33,Memoirs of a Geisha,"['0-97020', '0-38050', '0-585', '0-1562', '0-559', '0-14836']","['1-33', '1-504', '1-708', '1-733', '1-407', '1-17', '1-179', '1-239', '1-44', '1-278', '1-467', '1-499', '1-1']"
1-34,"Fifty Shades of Grey (Fifty Shades, #1)","['0-824', '0-924', '0-350', '0-228150', '0-409']","['1-34', '1-394', '1-467', '1-621', '1-384', '1-78', '1-275', '1-418', '1-201', '1-119', '1-543', '1-620', '1-583', '1-504']"
1-35,The Alchemist,"['0-2059', '0-27205', '0-10140', '0-7453', '0-278927', '0-5255', '0-1584']","['1-35', '1-130', '1-599', '1-419', '1-751', '1-104', '1-481', '1-729', '1-182', '1-457', '1-337', '1-744']"
1-36,"The Giver (The Giver, #1)","['0-215', '0-1571', '0-38', '0-5255', '0-13223', '0-87827']","['1-36', '1-354', '1-104', '1-723', '1-626', '1-647', '1-312', '1-558', '1-467', '1-417', '1-616', '1-239', '1-453']"
1-37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)","['0-411', '0-2454', '0-10140', '0-6114', '0-500', '0-1878', '0-2118', '0-240832']","['1-37', '1-347', '1-641', '1-292', '1-332', '1-602', '1-542', '1-471', '1-518', '1-161', '1-593']"
1-38,The Time Traveler's Wife,"['0-89', '0-644', '0-1954', '0-83542', '0-4922']","['1-38', '1-494', '1-401', '1-176', '1-618', '1-451', '1-142', '1-515', '1-471', '1-111', '1-669', '1-457', '1-295', '1-745']"
1-39,"A Game of Thrones (A Song of Ice and Fire, #1)","['0-10138', '0-45269', '0-2270', '0-1734', '0-810', '0-3933']","['1-39', '1-135', '1-110', '1-188', '1-165', '1-389', '1-598', '1-746', '1-565', '1-691', '1-648', '1-669', '1-355']"
1-41,"The Lightning Thief (Percy Jackson and the Olympians, #1)","['0-57165', '0-13053', '0-297762', '0-18823', '0-49849', '0-497', '0-39254', '0-184315']","['1-41', '1-175', '1-151', '1-159', '1-214', '1-294', '1-428', '1-488', '1-163', '1-370', '1-515']"
1-43,Jane Eyre,"['0-37135', '0-787', '0-14', '0-500', '0-557', '0-559']","['1-43', '1-171', '1-10', '1-76', '1-133', '1-93', '1-471', '1-361', '1-540', '1-590', '1-671', '1-8', '1-230']"
1-44,"The Notebook (The Notebook, #1)","['0-11036', '0-86834', '0-6947', '0-4922', '0-19913']","['1-44', '1-522', '1-665', '1-622', '1-553', '1-504', '1-484', '1-232', '1-60', '1-499', '1-46', '1-784', '1-118', '1-300']"
1-45,Life of Pi,"['0-87827', '0-80321', '0-7518', '0-953', '0-10527', '0-18360', '0-18785', '0-20662']","['1-45', '1-322', '1-481', '1-666', '1-494', '1-142', '1-522', '1-654', '1-571', '1-278', '1-408']"
1-46,Water for Elephants,"['0-80321', '0-755', '0-50619', '0-1562', '0-4922', '0-7191']","['1-46', '1-791', '1-52', '1-185', '1-150', '1-49', '1-56', '1-57', '1-295', '1-68', '1-666', '1-654', '1-3']"
1-48,Fahrenheit 451,"['0-510', '0-680', '0-948', '0-622', '0-185', '0-207']","['1-48', '1-614', '1-129', '1-55', '1-339', '1-168', '1-66', '1-13', '1-225', '1-85', '1-265', '1-117', '1-126']"
1-49,"New Moon (Twilight, #2)","['0-50619', '0-587', '0-162', '0-6947', '0-36648', '0-45269', '0-52520', '0-36586', '0-72331']","['1-49', '1-3', '1-52', '1-56', '1-732', '1-46', '1-791', '1-150', '1-197', '1-764']"
1-51,"City of Bones (The Mortal Instruments, #1)","['0-1572', '0-88751', '0-49026', '0-44826', '0-16320', '0-14836']","['1-51', '1-309', '1-153', '1-134', '1-183', '1-175', '1-515', '1-342', '1-788', '1-159', '1-70', '1-282', '1-504']"
1-52,"Eclipse (Twilight, #3)","['0-50619', '0-587', '0-162', '0-6947', '0-3933', '0-755', '0-45269', '0-1562', '0-36648', '0-52520']","['1-52', '1-3', '1-49', '1-56', '1-732', '1-46', '1-791', '1-150', '1-764']"
1-53,"Eragon (The Inheritance Cycle, #1)","['0-10191', '0-272', '0-2310', '0-9502', '0-411', '0-10140']","['1-53', '1-648', '1-345', '1-447', '1-135', '1-110', '1-39', '1-188', '1-165', '1-2', '1-528', '1-722', '1-330']"
1-54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","['0-7453', '0-9477', '0-762', '0-6114', '0-8078', '0-348', '0-10386', '0-18', '0-679']","['1-54', '1-337', '1-599', '1-751', '1-503', '1-620', '1-117', '1-126', '1-611', '1-80']"
1-55,Brave New World,"['0-497', '0-72105', '0-280', '0-534', '0-296', '0-214', '0-218', '0-1934', '0-215']","['1-55', '1-340', '1-325', '1-297', '1-488', '1-255', '1-271', '1-173', '1-168', '1-476']"
1-56,"Breaking Dawn (Twilight, #4)","['0-50619', '0-587', '0-36648', '0-162', '0-52520', '0-72331', '0-834', '0-36586', '0-755']","['1-56', '1-3', '1-52', '1-49', '1-732', '1-46', '1-791', '1-197', '1-150', '1-624']"
1-57,The Secret Life of Bees,"['0-44214', '0-8321', '0-74', '0-395992', '0-7191', '0-8960', '0-4247', '0-322', '0-86834', '0-673']","['1-57', '1-754', '1-273', '1-78', '1-46', '1-184', '1-499', '1-557', '1-86']"
1-58,The Adventures of Huckleberry Finn,"['0-2770', '0-8273', '0-2105', '0-162', '0-954', '0-1878']","['1-58', '1-293', '1-650', '1-5', '1-618', '1-375', '1-441', '1-446', '1-471', '1-177', '1-518', '1-718', '1-485']"
1-59,Charlotte's Web,"['0-118', '0-500', '0-497', '0-137']","['1-59', '1-121', '1-14', '1-681', '1-321', '1-311', '1-66', '1-55', '1-32', '1-332', '1-225', '1-606', '1-297', '1-317', '1-577']"
1-60,The Curious Incident of the Dog in the Night-Time,"['0-17654', '0-308266', '0-462', '0-1402', '0-5915', '0-24428']","['1-60', '1-444', '1-499', '1-465', '1-707', '1-44', '1-784', '1-282', '1-457', '1-682', '1-515', '1-57', '1-198']"
1-63,Wuthering Heights,['0-402'],"['1-63', '1-451', '1-401', '1-10', '1-714', '1-43', '1-171', '1-361', '1-71', '1-76', '1-590', '1-93', '1-471', '1-83', '1-402', '1-778', '1-230', '1-177']"
1-64,My Sister's Keeper,"['0-2252', '0-6479', '0-9444', '0-296', '0-106', '0-755', '0-583', '0-956', '0-59967', '0-534']","['1-64', '1-172', '1-388', '1-266', '1-575', '1-221', '1-640', '1-703', '1-441']"
1-65,Slaughterhouse-Five,"['0-4232', '0-927', '0-510', '0-857', '0-497', '0-76163', '0-409', '0-106', '0-424', '0-63']","['1-65', '1-321', '1-705', '1-129', '1-237', '1-126', '1-506', '1-297', '1-255']"
1-66,Gone with the Wind,"['0-770', '0-8271', '0-500', '0-4108', '0-275', '0-9335', '0-88']","['1-66', '1-685', '1-647', '1-312', '1-225', '1-311', '1-8', '1-763', '1-117', '1-55', '1-179', '1-48']"
1-67,A Thousand Splendid Suns,"['0-587', '0-38365', '0-4922', '0-109445']","['1-67', '1-11', '1-467', '1-436', '1-779', '1-310', '1-179', '1-745', '1-115', '1-515', '1-504', '1-120', '1-111', '1-135', '1-176']"
1-68,The Perks of Being a Wallflower,"['0-380', '0-39254', '0-9654', '0-118', '0-17431', '0-5176', '0-122', '0-508', '0-11836', '0-6637']","['1-68', '1-271', '1-675', '1-666', '1-158', '1-499', '1-457', '1-340', '1-328']"
1-70,"Ender's Game (Ender's Saga, #1)","['0-559', '0-1930', '0-41733', '0-7453', '0-557', '0-608', '0-411', '0-17431', '0-395', '0-44833']","['1-70', '1-760', '1-492', '1-328', '1-337', '1-153', '1-729', '1-751', '1-134']"
1-71,Frankenstein,['0-3933'],"['1-71', '1-10', '1-484', '1-699', '1-450', '1-547', '1-230', '1-782', '1-194', '1-471', '1-485', '1-293', '1-177', '1-545', '1-446', '1-618', '1-718', '1-63']"
1-72,The Shining (The Shining #1),"['0-694', '0-621', '0-676', '0-73', '0-693', '0-142', '0-163', '0-22', '0-9479', '0-58', '0-4638', '0-602', '0-1865', '0-276907']","['1-72', '1-124', '1-640', '1-28', '1-518']"
1-73,"The Host (The Host, #1)","['0-6477', '0-19995', '0-2059', '0-8966', '0-395', '0-534', '0-71672', '0-425', '0-49849']","['1-73', '1-645', '1-685', '1-463', '1-137', '1-107', '1-336', '1-708', '1-481', '1-370']"
1-76,Sense and Sensibility,"['0-62177', '0-162', '0-500', '0-87502', '0-587']","['1-76', '1-471', '1-10', '1-43', '1-171', '1-230', '1-361', '1-451', '1-446', '1-671', '1-618', '1-97', '1-133', '1-540']"
1-77,"Holes (Holes, #1)","['0-44912', '0-14574', '0-57800', '0-2059', '0-253412', '0-35', '0-38365', '0-1272', '0-6947', '0-1927']","['1-77', '1-175', '1-294', '1-159', '1-665', '1-594', '1-275', '1-295', '1-41']"
1-78,"The Devil Wears Prada (The Devil Wears Prada, #1)","['0-350', '0-185', '0-953', '0-10527', '0-80321', '0-44214', '0-44833', '0-23823', '0-824', '0-16320', '0-1734']","['1-78', '1-617', '1-57', '1-173', '1-715', '1-273', '1-754', '1-34']"
1-79,The Odyssey,"['0-62', '0-408', '0-770', '0-15', '0-1585', '0-630']","['1-79', '1-503', '1-478', '1-529', '1-576', '1-597', '1-341', '1-479', '1-772', '1-714', '1-248', '1-353', '1-375']"
1-80,The Little Prince,"['0-550', '0-20662', '0-95', '0-9444']","['1-80', '1-196', '1-547', '1-498', '1-394', '1-89', '1-764', '1-245', '1-405', '1-150', '1-542', '1-628', '1-543', '1-602', '1-664']"
1-82,Into the Wild,"['0-163', '0-98566', '0-10764', '0-19995', '0-62177', '0-22832', '0-2062', '0-36669', '0-2454']","['1-82', '1-496', '1-520', '1-137', '1-259', '1-110', '1-165', '1-447', '1-135', '1-123']"
1-83,A Tale of Two Cities,[],"['1-402', '1-83', '1-293', '1-332', '1-43', '1-103', '1-171', '1-718', '1-413', '1-498', '1-618', '1-485', '1-10', '1-540', '1-230', '1-109', '1-614', '1-590', '1-177']"
1-84,"Jurassic Park (Jurassic Park, #1)","['0-8355', '0-7191', '0-44912', '0-1452', '0-80321', '0-58595', '0-5915', '0-1593', '0-1927', '0-953', '0-57800', '0-72105']","['1-84', '1-591', '1-342', '1-408', '1-132', '1-38', '1-624']"
1-85,The Giving Tree,"['0-88', '0-322', '0-277', '0-948', '0-2105', '0-755', '0-238', '0-207']","['1-85', '1-265', '1-616', '1-670', '1-90', '1-317', '1-225', '1-271', '1-633', '1-311', '1-577']"
1-86,A Time to Kill,"['0-8456', '0-49849', '0-19995', '0-10201', '0-4442', '0-14160', '0-14564', '0-13186', '0-8321', '0-88', '0-6466']","['1-86', '1-295', '1-232', '1-725', '1-733', '1-264', '1-344', '1-757']"
1-88,Paper Towns,"['0-7278', '0-6637', '0-2059', '0-13223', '0-166424', '0-9738', '0-8363', '0-20352', '0-377', '0-1930', '0-27022', '0-10193', '0-640']","['1-88', '1-768', '1-665', '1-176', '1-584', '1-234']"
1-89,The Princess Bride ,"['0-409', '0-762', '0-311']","['1-89', '1-700', '1-80', '1-284', '1-232', '1-311', '1-602', '1-225', '1-577', '1-102', '1-14', '1-593', '1-13', '1-255', '1-386', '1-189']"
1-90,The Outsiders,"['0-88', '0-277', '0-8922', '0-9806', '0-4232', '0-111', '0-33', '0-238', '0-497', '0-402', '0-948', '0-207', '0-73']","['1-90', '1-670', '1-85', '1-265', '1-4', '1-225']"
1-91,"The Maze Runner (Maze Runner, #1)","['0-6637', '0-44214', '0-4922', '0-8643', '0-52520', '0-72331', '0-9476', '0-166424', '0-9738', '0-2059']","['1-91', '1-259', '1-376', '1-304', '1-642', '1-249', '1-336', '1-367', '1-768']"
1-93,The Secret Garden,[],"['1-93', '1-275', '1-471', '1-43', '1-257', '1-229', '1-518', '1-671', '1-230', '1-618', '1-76', '1-361', '1-171', '1-718', '1-10', '1-63', '1-451', '1-444', '1-213']"
1-94,One Hundred Years of Solitude,"['0-9479', '0-602', '0-238', '0-857', '0-4011']","['1-94', '1-789', '1-577', '1-225', '1-730', '1-461', '1-292', '1-593', '1-66', '1-55', '1-265', '1-85', '1-476', '1-297']"
1-95,The Picture of Dorian Gray,"['0-8698', '0-426']","['1-95', '1-401', '1-451', '1-618', '1-471', '1-498', '1-71', '1-485', '1-590', '1-177', '1-446', '1-180', '1-38', '1-718', '1-5', '1-103', '1-109']"
1-97,Dracula,"['0-6114', '0-409', '0-62']","['1-97', '1-457', '1-103', '1-446', '1-76', '1-293', '1-518', '1-498', '1-699', '1-194', '1-37', '1-71', '1-485', '1-413', '1-618', '1-292']"
1-98,"The Girl Who Played with Fire (Millennium, #2)","['0-65754', '0-1359', '0-11324', '0-4133', '0-1949', '0-388']","['1-98', '1-140', '1-16', '1-118', '1-504', '1-511', '1-322', '1-295', '1-649', '1-457', '1-494', '1-60', '1-786']"
1-100,The Poisonwood Bible,"['0-333484', '0-6947', '0-20352', '0-4442']","['1-100', '1-150', '1-557', '1-467', '1-118', '1-278', '1-465', '1-779', '1-729', '1-745', '1-115', '1-234', '1-325', '1-453', '1-31']"
1-102,Where the Wild Things Are,"['0-1538', '0-311', '0-39254', '0-954', '0-364', '0-510']","['1-102', '1-593', '1-158', '1-292', '1-89', '1-731', '1-561', '1-681', '1-28', '1-386', '1-602', '1-161', '1-670']"
1-103,The Count of Monte Cristo,['0-409'],"['1-103', '1-97', '1-498', '1-83', '1-402', '1-293', '1-138', '1-413', '1-43', '1-446', '1-177', '1-109', '1-671', '1-357', '1-172', '1-58', '1-264', '1-614']"
1-104,The Road,"['0-5255', '0-7518', '0-557', '0-1562', '0-85350']","['1-104', '1-284', '1-626', '1-416', '1-788', '1-388', '1-300', '1-729', '1-179', '1-417', '1-295', '1-232', '1-504', '1-258']"
1-107,A Walk to Remember,"['0-508', '0-61791', '0-869', '0-4147', '0-1422', '0-4638', '0-64688', '0-5255', '0-38365']","['1-107', '1-463', '1-137', '1-504', '1-793', '1-558', '1-73', '1-626', '1-369', '1-44']"
1-109,Les Misérables,"['0-82695', '0-9477']","['1-109', '1-696', '1-138', '1-177', '1-103', '1-293', '1-618', '1-402', '1-83', '1-446', '1-257', '1-357', '1-58', '1-413', '1-498', '1-518', '1-485']"
1-110,"A Clash of Kings  (A Song of Ice and Fire, #2)","['0-10138', '0-58595', '0-1734', '0-7220', '0-45269', '0-2270', '0-1771', '0-10191']","['1-110', '1-135', '1-39', '1-188', '1-165', '1-648', '1-53', '1-746', '1-447', '1-598', '1-682']"
1-111,The Memory Keeper's Daughter,"['0-644', '0-1903', '0-8247', '0-38050', '0-5876', '0-39513', '0-1927', '0-497']","['1-111', '1-627', '1-243', '1-707', '1-457', '1-590', '1-488', '1-187', '1-622', '1-465', '1-354']"
1-113,Catch-22,"['0-581', '0-196', '0-165', '0-105', '0-28', '0-409']","['1-113', '1-633', '1-561', '1-763', '1-592', '1-225', '1-173', '1-476', '1-410', '1-332', '1-168', '1-55', '1-65']"
1-114,Tuesdays with Morrie,"['0-72105', '0-6637', '0-27205', '0-87827', '0-673', '0-114150']","['1-114', '1-123', '1-457', '1-18', '1-653', '1-192', '1-2', '1-115', '1-745', '1-779', '1-557', '1-723', '1-119']"
1-115,Middlesex,"['0-87502', '0-333484', '0-6947', '0-1272']","['1-745', '1-115', '1-179', '1-278', '1-486', '1-571', '1-779', '1-516', '1-258', '1-784', '1-38', '1-669', '1-504', '1-515', '1-467']"
1-117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","['0-4547', '0-680', '0-117', '0-862', '0-18', '0-1924', '0-4011', '0-948']","['1-117', '1-270', '1-738', '1-793', '1-781', '1-126', '1-225', '1-54', '1-37', '1-317', '1-66']"
1-118,The Joy Luck Club,['0-587'],"['1-118', '1-482', '1-120', '1-182', '1-394', '1-465', '1-467', '1-140', '1-515', '1-384', '1-543', '1-57', '1-100', '1-499', '1-419', '1-179', '1-707', '1-522']"
1-119,The Handmaid's Tale,"['0-3981', '0-64682', '0-402', '0-72559', '0-1593', '0-534', '0-824']","['1-119', '1-124', '1-278', '1-147', '1-239', '1-135', '1-273', '1-34', '1-39', '1-665', '1-729', '1-588']"
1-120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)","['0-634', '0-19913', '0-38365', '0-64688', '0-2770', '0-640']","['1-120', '1-182', '1-407', '1-118', '1-234', '1-68', '1-558', '1-388', '1-557', '1-169', '1-467', '1-300', '1-314']"
1-121,Lolita,"['0-137', '0-694', '0-275', '0-9479', '0-162']","['1-121', '1-59', '1-311', '1-66', '1-55', '1-173', '1-48', '1-265', '1-85', '1-577', '1-225', '1-178', '1-476', '1-681']"
1-123,"The Firm (Penguin Readers, Level 5)","['0-6637', '0-8321', '0-395992', '0-74', '0-75656', '0-7220', '0-298', '0-1402', '0-8960', '0-322', '0-4133', '0-23168', '0-9679']","['1-123', '1-114', '1-516', '1-266', '1-57', '1-86']"
1-124,Room,"['0-693', '0-142', '0-22', '0-58', '0-694', '0-1865', '0-276907', '0-285', '0-9479', '0-402', '0-9335', '0-3981']","['1-124', '1-640', '1-72', '1-647', '1-312', '1-142', '1-28']"
1-125,Hamlet,"['0-408', '0-770', '0-1585', '0-630', '0-15']","['1-125', '1-154', '1-341', '1-29', '1-714', '1-479', '1-576', '1-478', '1-248', '1-529', '1-353', '1-530', '1-597', '1-79']"
1-126,Dune (Dune Chronicles #1),"['0-497', '0-39513', '0-9444', '0-257211', '0-1359', '0-856']","['1-126', '1-243', '1-457', '1-488', '1-357', '1-111', '1-622', '1-354', '1-65', '1-789', '1-504', '1-117', '1-54']"
1-129,One Flew Over the Cuckoo's Nest,"['0-510', '0-4232', '0-927', '0-409', '0-278', '0-185', '0-311', '0-95', '0-106']","['1-129', '1-506', '1-321', '1-65', '1-705', '1-237', '1-48', '1-55', '1-130', '1-386']"
1-130,The Old Man and the Sea,"['0-12', '0-578', '0-238', '0-813', '0-510', '0-377']","['1-130', '1-35', '1-593', '1-284', '1-321', '1-205', '1-335', '1-155', '1-410', '1-8', '1-225', '1-577', '1-189']"
1-131,The Grapes of Wrath,"['0-19913', '0-238', '0-497', '0-278', '0-424']","['1-131', '1-650', '1-515', '1-4', '1-335', '1-225', '1-55', '1-14', '1-681', '1-715', '1-32', '1-577', '1-5', '1-461']"
1-132,The Five People You Meet in Heaven,"['0-856', '0-22804', '0-500', '0-787', '0-950', '0-559', '0-14564', '0-8355']","['1-132', '1-612', '1-176', '1-725', '1-418', '1-384', '1-394', '1-550', '1-167', '1-84', '1-232']"
1-133,"Anne of Green Gables (Anne of Green Gables, #1)",['0-10591'],"['1-133', '1-230', '1-43', '1-76', '1-171', '1-485', '1-413', '1-518', '1-590', '1-498', '1-545', '1-357', '1-699', '1-346', '1-624', '1-10', '1-257', '1-444']"
1-134,"City of Glass (The Mortal Instruments, #3)","['0-206647', '0-4638', '0-52520', '0-1538', '0-16320', '0-1572', '0-39254']","['1-134', '1-51', '1-309', '1-153', '1-504', '1-70', '1-743', '1-175', '1-183', '1-159', '1-788', '1-135']"
1-135,"A Storm of Swords (A Song of Ice and Fire, #3)","['0-10138', '0-7220', '0-58595', '0-2270', '0-1734', '0-45269', '0-36648', '0-3933']","['1-135', '1-39', '1-110', '1-188', '1-165', '1-648', '1-389', '1-53', '1-669', '1-746', '1-682']"
1-136,Divine Secrets of the Ya-Ya Sisterhood,"['0-508', '0-10764', '0-38', '0-6947', '0-4133']","['1-136', '1-118', '1-515', '1-707', '1-784', '1-467', '1-499', '1-282', '1-57', '1-179', '1-310', '1-60', '1-541', '1-586']"
1-137,"Outlander (Outlander, #1)","['0-23168', '0-150540', '0-508', '0-9335', '0-6477', '0-4108', '0-7220', '0-954', '0-585', '0-71672', '0-141']","['1-137', '1-463', '1-107', '1-575', '1-326', '1-179', '1-336', '1-294']"
1-138,The Scarlet Letter,[],"['1-138', '1-730', '1-482', '1-325', '1-103', '1-109', '1-71', '1-485', '1-43', '1-177', '1-76', '1-718', '1-471', '1-171', '1-58', '1-402', '1-83', '1-194', '1-518']"
1-140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","['0-65754', '0-315837', '0-86834', '0-1930', '0-1949', '0-41733']","['1-140', '1-98', '1-16', '1-344', '1-691', '1-118', '1-328', '1-494', '1-123', '1-467', '1-589', '1-522', '1-400']"
1-142,"The Pillars of the Earth (The Kingsbridge Series, #1)","['0-9476', '0-693', '0-22', '0-142', '0-1865', '0-19913', '0-58', '0-276907', '0-285']","['1-142', '1-642', '1-124', '1-494', '1-322', '1-481', '1-640', '1-515', '1-241', '1-38']"
1-147,Thirteen Reasons Why,"['0-19913', '0-1272', '0-640', '0-1930', '0-27578']","['1-147', '1-609', '1-516', '1-369', '1-119', '1-515', '1-564', '1-711', '1-328', '1-88', '1-234', '1-591', '1-486', '1-295']"
1-149,"If I Stay (If I Stay, #1)","['0-41630', '0-1272', '0-176', '0-72331', '0-508', '0-83542', '0-82695', '0-70', '0-673']","['1-475', '1-149', '1-384', '1-225', '1-522', '1-283', '1-467', '1-98', '1-490', '1-784']"
