Charlotte's Web,"{'Speculative fiction', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Curious Incident of the Dog in the Night-Time,{'Mystery'},"{'Mystery', 'Thriller'}"
Wuthering Heights,"{'Fiction', 'Novel', 'Gothic fiction'}","{'Adventure', 'Sci-Fi', 'Horror', 'Thriller', 'Fantasy'}"
My Sister's Keeper,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
Slaughterhouse-Five,"{'War novel', 'Speculative fiction', 'Philosophy', 'Black comedy', 'Time travel', 'Fiction', 'Science Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Comedy', 'Fantasy'}"
Gone with the Wind,"{'Fiction', 'Novel', 'Historical fiction'}","{'History', 'Adventure', 'Fantasy', 'Sci-Fi'}"
A Thousand Splendid Suns,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Perks of Being a Wallflower,"{'Epistolary novel', 'Young adult literature', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Drama'}"
"Ender's Game (Ender's Saga, #1)","{'Speculative fiction', 'Science Fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Frankenstein,"{'Speculative fiction', 'Mystery', 'Fantasy', 'Suspense', 'Epistolary novel', 'Fiction', 'Science Fiction', 'Horror', 'Gothic fiction'}","{'Adventure', 'Sci-Fi', 'Horror', 'Mystery', 'Thriller', 'Fantasy', 'Drama'}"
The Shining (The Shining #1),"{""Children's literature"", 'Speculative fiction', 'Fiction', 'Horror', 'Gothic fiction'}","{'Adventure', 'Sci-Fi', 'Horror', 'Thriller', 'Fantasy'}"
"The Host (The Host, #1)","{'Romance novel', 'Fiction', 'Science Fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Fantasy'}"
Sense and Sensibility,"{'Romance novel', ""Children's literature"", 'Novel', 'Fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Fantasy'}"
"Holes (Holes, #1)","{'Fiction', 'Adventure novel', 'Young adult literature', 'Satire', ""Children's literature""}","{'Adventure', 'Sci-Fi', 'Comedy', 'Fantasy', 'Drama'}"
"The Devil Wears Prada (The Devil Wears Prada, #1)","{'Roman à clef', 'Fiction', 'Chick lit'}","{'Adventure', 'Sci-Fi', 'Biography', 'Romance', 'Fantasy'}"
The Odyssey,"{'Speculative fiction', 'Science Fiction'}","{'Fantasy', 'Sci-Fi'}"
The Little Prince,{},{}
Into the Wild,"{'Fantasy', ""Children's literature""}","{'Adventure', 'Fantasy'}"
A Tale of Two Cities,"{'Fiction', 'Historical novel', 'Novel'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Fantasy'}"
"Jurassic Park (Jurassic Park, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Techno-thriller', 'Romance novel', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Thriller', 'Fantasy'}"
The Giving Tree,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
A Time to Kill,"{'Suspense', 'Speculative fiction', 'Mystery', 'Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Fantasy'}"
Paper Towns,"{'Young adult literature', 'Mystery'}","{'Mystery', 'Thriller', 'Adventure'}"
The Princess Bride ,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Romance novel', ""Children's literature""}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Fantasy'}"
The Outsiders,"{'Young adult literature', ""Children's literature"", 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Maze Runner (Maze Runner, #1)","{'Apocalyptic and post-apocalyptic fiction', 'Young adult literature', 'Science Fiction', 'Dystopia'}","{'Adventure', 'Sci-Fi'}"
The Secret Garden,"{'Fiction', 'Speculative fiction', 'Science Fiction', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
One Hundred Years of Solitude,"{'Speculative fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Picture of Dorian Gray,"{'Fiction', 'Speculative fiction', 'Horror', 'Gothic fiction'}","{'Adventure', 'Sci-Fi', 'Horror', 'Thriller', 'Fantasy'}"
Dracula,"{'Speculative fiction', 'Mystery', 'Invasion literature', 'Fantasy', 'Epistolary novel', 'Fiction', 'Science Fiction', 'Horror', 'Gothic fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Horror', 'War', 'Mystery', 'Thriller', 'Fantasy', 'Drama'}"
"The Girl Who Played with Fire (Millennium, #2)","{'Mystery', 'Thriller', 'Crime Fiction'}","{'Mystery', 'Thriller', 'Crime'}"
The Poisonwood Bible,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Where the Wild Things Are,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Picture book', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Count of Monte Cristo,"{'Romance novel', 'Fiction', 'Adventure novel', 'Historical novel'}","{'Adventure', 'History', 'Adult', 'Sci-Fi', 'War', 'Romance', 'Fantasy'}"
The Road,"{'Speculative fiction', 'Apocalyptic and post-apocalyptic fiction', 'Literary fiction', 'Fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
A Walk to Remember,"{'Romance novel', 'Speculative fiction', 'Novel', 'Fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Fantasy'}"
Les Misérables,"{'Fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"A Clash of Kings  (A Song of Ice and Fire, #2)","{'Fantasy', 'Speculative fiction', 'Science Fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Memory Keeper's Daughter,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
Catch-22,"{'War novel', 'Black comedy', 'Satire', 'Absurdist fiction', 'Anti-war', 'Historical fiction'}","{'History', 'Comedy', 'War', 'Mystery', 'Drama'}"
Tuesdays with Morrie,"{'Philosophy', 'Biography', 'Memoir', 'Autobiography', 'Biographical novel', 'Non-fiction', 'Sociology', 'Inspirational', 'Fiction'}","{'Adventure', 'History', 'Sci-Fi', 'Family', 'Biography', 'Fantasy', 'Documentary'}"
Middlesex,"{'Transgender and transsexual fiction', 'Fiction', 'Novel'}","{'Adult', 'Adventure', 'Fantasy', 'Sci-Fi'}"
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","{'Speculative fiction', 'Fantasy', 'Young adult literature', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Joy Luck Club,"{""Children's literature"", 'Novel', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Handmaid's Tale,"{'Speculative fiction', 'Novel', 'Dystopia', 'Feminist science fiction', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Sisterhood of the Traveling Pants (Sisterhood, #1)","{'Young adult literature', ""Children's literature"", 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Lolita,"{'Tragicomedy', 'Romance novel', 'Fiction', 'Novel'}","{'Adventure', 'Adult', 'Sci-Fi', 'Comedy', 'Romance', 'Fantasy', 'Drama'}"
"The Firm (Penguin Readers, Level 5)","{'Suspense', ""Children's literature"", 'Mystery', 'Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Fantasy'}"
Room,"{'Literary fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Hamlet,{},{}
Dune (Dune Chronicles #1),"{'Philosophy', 'Adventure novel', 'Military science fiction', 'Conspiracy fiction', 'Fiction', 'Science Fiction', 'Planetary romance'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Fantasy'}"
One Flew Over the Cuckoo's Nest,"{""Children's literature"", 'Novel', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Old Man and the Sea,"{'Sea story', 'Novella', ""Children's literature"", 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Grapes of Wrath,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Five People You Meet in Heaven,"{'Inspirational', 'Fiction', 'Philosophy', 'Novel'}","{'Family', 'Adventure', 'Fantasy', 'Sci-Fi'}"
"Anne of Green Gables (Anne of Green Gables, #1)","{""Children's literature"", 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"City of Glass (The Mortal Instruments, #3)",{'Young adult literature'},{'Adventure'}
"A Storm of Swords (A Song of Ice and Fire, #3)","{'Fantasy', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Divine Secrets of the Ya-Ya Sisterhood,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Outlander (Outlander, #1)","{'Time travel', 'Romance novel', 'Historical novel', 'Fiction', 'Science Fiction'}","{'Adventure', 'History', 'Adult', 'Sci-Fi', 'War', 'Romance', 'Fantasy'}"
The Scarlet Letter,"{""Children's literature"", 'Romance novel', 'Reference', 'Historical novel', 'Novel', 'Fiction'}","{'Adventure', 'History', 'Adult', 'Sci-Fi', 'War', 'Romance', 'Fantasy', 'Documentary'}"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","{'Mystery', 'Thriller', 'Crime Fiction'}","{'Mystery', 'Thriller', 'Crime'}"
"The Pillars of the Earth (The Kingsbridge Series, #1)","{'Fiction', 'Suspense', 'Historical novel', 'Historical fiction'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Mystery', 'Thriller', 'Fantasy'}"
Thirteen Reasons Why,"{'Young adult literature', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"If I Stay (If I Stay, #1)","{'Young adult literature', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Red Tent,"{'Fiction', 'Historical novel', 'Historical fiction'}","{'Adventure', 'History', 'Sci-Fi', 'War', 'Fantasy'}"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Adventure novel', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"City of Ashes (The Mortal Instruments, #2)","{'Young adult literature', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Macbeth,{},{}
"The Two Towers (The Lord of the Rings, #2)","{'Speculative fiction', 'Fiction', 'Fantasy', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Something Borrowed (Darcy & Rachel, #1)","{'Romance novel', 'Comic novel', 'Chick lit'}","{'Adult', 'Comedy', 'Romance'}"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)","{'Fantasy', ""Children's literature"", 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Adventure novel', 'Young adult literature', ""Children's literature""}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Return of the King (The Lord of the Rings, #3)","{'Speculative fiction', 'Biography', 'Fantasy', 'Autobiography', 'Fiction', 'Science Fiction'}","{'Adventure', 'Fantasy', 'Biography', 'Sci-Fi'}"
The Stranger,"{'Existentialism', 'Suspense', 'Absurdist fiction', 'Fiction', 'Crime Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
"The Lost Hero (The Heroes of Olympus, #1)","{'Fantasy', 'Young adult literature'}","{'Adventure', 'Fantasy'}"
"A Feast for Crows (A Song of Ice and Fire, #4)","{'Fantasy', 'Speculative fiction'}","{'Fantasy', 'Sci-Fi'}"
"American Gods (American Gods, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Novel', ""Children's literature"", 'Science Fiction', 'Horror'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Horror'}"
The Stand,"{'Speculative fiction', 'Fiction', 'Apocalyptic and post-apocalyptic fiction', 'Novel', ""Children's literature"", 'Science Fiction', 'Horror'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Horror'}"
The Last Song,{'Romance novel'},"{'Adult', 'Romance'}"
Digital Fortress,"{'Fiction', 'Techno-thriller', 'Mystery', 'Science Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Fantasy'}"
Emma,"{'Fiction', 'Comedy', 'Comedy of manners', 'Reference', 'Romance novel', 'Novel', ""Children's literature""}","{'Adventure', 'History', 'Adult', 'Sci-Fi', 'Comedy', 'Romance', 'Fantasy', 'Documentary', 'Drama'}"
Anna Karenina,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
A Clockwork Orange,"{'Speculative fiction', 'Fiction', 'Novella', 'Satire', 'Utopian and dystopian fiction', 'Science Fiction'}","{'Adventure', 'Sci-Fi', 'Comedy', 'Fantasy', 'Drama'}"
The Shack,{'Fiction'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Last Olympian (Percy Jackson and the Olympians, #5)","{'Fantasy', 'Young adult literature', 'Adventure novel'}","{'Adventure', 'Fantasy'}"
It,"{'Speculative fiction', 'Horror'}","{'Fantasy', 'Sci-Fi', 'Horror'}"
Crime and Punishment,"{'Fiction', 'Suspense', 'Novel', 'Crime Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
The Bell Jar,"{""Children's literature"", 'Autobiography', 'Autobiographical novel', 'Fiction', 'Roman à clef'}","{'Fantasy', 'Adventure', 'Biography', 'Sci-Fi'}"
"Angela's Ashes (Frank McCourt, #1)","{'Memoir', 'Biography'}",{'Biography'}
Siddhartha,"{'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Beautiful Creatures (Caster Chronicles, #1)","{'Fantasy', 'Young adult literature', 'Romance novel'}","{'Adult', 'Adventure', 'Fantasy', 'Romance'}"
"Clockwork Angel (The Infernal Devices, #1)",{},{}
Matilda,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Humour', ""Children's literature""}","{'Sci-Fi', 'Adventure', 'Fantasy', 'Comedy'}"
The Night Circus,{'Fantasy'},{'Fantasy'}
"Uglies (Uglies, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Young adult literature', 'Dystopia', ""Children's literature"", 'Science Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"A Dance with Dragons (A Song of Ice and Fire, #5)","{'Fantasy', 'Speculative fiction', 'Novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Lord of the Rings (The Lord of the Rings, #1-3)","{'Speculative fiction', 'Fantasy', 'Adventure novel', 'High fantasy', 'Fiction', 'Chivalric romance'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Romance'}"
"The Name of the Wind (The Kingkiller Chronicle, #1)","{'Fantasy', 'Heroic fantasy', 'Speculative fiction', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
"Moby-Dick or, The Whale","{'Sea story', 'Fiction', 'Adventure novel'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
The Guernsey Literary and Potato Peel Pie Society,{},{}
Fight Club,"{'Speculative fiction', 'Mystery', 'Suspense', 'Satire', 'Novel', 'Fiction', 'Science Fiction'}","{'Adventure', 'Sci-Fi', 'Comedy', 'Mystery', 'Thriller', 'Fantasy', 'Drama'}"
"Dead Until Dark (Sookie Stackhouse, #1)","{'Paranormal romance', 'Speculative fiction', 'Mystery', 'Fantasy', 'Romance novel', 'Vampire fiction', 'Fiction', 'Gothic fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Horror', 'Romance', 'Mystery', 'Thriller', 'Fantasy'}"
The Color Purple,"{'Epistolary novel', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Drama'}"
Marley and Me: Life and Love With the World's Worst Dog,{'Non-fiction'},"{'History', 'Documentary'}"
"The Lost Symbol (Robert Langdon, #3)","{'Speculative fiction', 'Mystery', 'Thriller', 'Novel', 'Fiction', 'Crime Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
"Hush, Hush (Hush, Hush, #1)","{'Fantasy', 'Young adult literature', 'Romance novel'}","{'Adult', 'Adventure', 'Fantasy', 'Romance'}"
A Christmas Carol,"{'Morality play', 'Speculative fiction', 'Ghost story', 'Novella', 'Fairy tale', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi', 'Horror'}"
"Interview with the Vampire (The Vampire Chronicles, #1)","{'Speculative fiction', 'Fantasy', 'Vampire fiction', 'Fiction', 'Horror', 'Gothic fiction'}","{'Adventure', 'Sci-Fi', 'Horror', 'Thriller', 'Fantasy'}"
"One for the Money (Stephanie Plum, #1)","{'Suspense', 'Fiction', 'Mystery', 'Crime Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
"The Silence of the Lambs  (Hannibal Lecter, #2)","{'Speculative fiction', 'Mystery', 'Suspense', 'Thriller', 'Fiction', 'Horror'}","{'Adventure', 'Sci-Fi', 'Horror', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
Atonement,"{'Suspense', 'Fiction', 'Mystery'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Fantasy'}"
The Metamorphosis,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Novella', 'Absurdist fiction', ""Children's literature""}","{'Mystery', 'Adventure', 'Fantasy', 'Sci-Fi'}"
"The Titan's Curse (Percy Jackson and the Olympians, #3)","{'Fantasy', 'Young adult literature', 'Speculative fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
Ready Player One,{'Science Fiction'},{'Sci-Fi'}
"A Child Called ""It"" (Dave Pelzer #1)",{},{}
"The Bourne Identity (Jason Bourne, #1)","{'Mystery', 'Suspense', 'Spy fiction', 'Thriller', 'Fiction'}","{'Adventure', 'Sci-Fi', 'Mystery', 'Thriller', 'Crime', 'Fantasy'}"
East of Eden,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
Dark Places,{},{}
The Client,"{'Detective fiction', 'Mystery'}","{'Mystery', 'Thriller'}"
Alice's Adventures in Wonderland & Through the Looking-Glass,"{'Speculative fiction', 'Fiction', 'Fantasy', 'Absurdist fiction', ""Children's literature""}","{'Mystery', 'Adventure', 'Fantasy', 'Sci-Fi'}"
Persuasion,"{""Children's literature"", 'Suspense', 'Romance novel', 'Novel', 'Fiction'}","{'Adventure', 'Adult', 'Sci-Fi', 'Romance', 'Mystery', 'Thriller', 'Fantasy'}"
"The Gunslinger (The Dark Tower, #1)","{'Speculative fiction', 'Fiction', 'Fantasy', 'Western fiction', 'Western', ""Children's literature"", 'Science Fiction', 'Horror'}","{'Adventure', 'Sci-Fi', 'Horror', 'Western', 'Fantasy'}"
Love in the Time of Cholera,{'Novel'},"{'Adventure', 'Fantasy', 'Sci-Fi'}"
Speak,"{""Children's literature"", 'Novel', 'Fiction'}","{'Adventure', 'Fantasy', 'Sci-Fi'}"
